"ID_ORIENTACAO";"SECAO";"ORDEM";"TITULO";"CONTEUDO"
221;WORKFLOW;9;Defina a granularidade temporal;Identifique se a pergunta solicita análise diária, mensal ou de um período maior. Para análise diária, priorize as views VW_SEI_KPI_%_DIA. Para análise mensal, priorize as views VW_SEI_KPI_%_MES. Para períodos maiores, verifique a aditividade da métrica antes de agregar os resultados.
222;PRINCIPIO;8;Escolha entre KPI diário e mensal;Utilize as views VW_SEI_KPI_%_DIA quando o usuário solicitar informações por dia ou em uma data específica. Utilize as views VW_SEI_KPI_%_MES quando o usuário solicitar informações mensais ou quando for necessário manter compatibilidade com consultas e painéis existentes.
223;PRINCIPIO;9;Não agregue métricas não aditivas;Não some contagens distintas, percentuais, taxas, médias ou medianas provenientes das views diárias para produzir resultados mensais ou de períodos maiores. Recalcule essas métricas utilizando seus componentes ou diretamente sobre as views VW_SEI_EVENTO_%.
224;PRINCIPIO;10;Interprete a data diária corretamente;"Nas views VW_SEI_KPI_%_DIA, DATA_REFERENCIA representa o dia do evento utilizado pelo indicador. Em documentos representa geração; em tramitações representa abertura; em eficiência processual representa conclusão; em processos pode reunir indicadores apurados pelas datas de criação e conclusão."
225;PRINCIPIO;11;Diferencie atividade diária de cadastro vigente;Nas views diárias de usuários, unidades e estrutura processual, as quantidades cadastradas representam o cadastro vigente no último refresh. Não interprete essas quantidades como fotografia histórica da DATA_REFERENCIA e não as some entre dias.
226;VALIDACAO;6;Valide a granularidade temporal;Antes de executar a consulta, confirme que o objeto selecionado possui a granularidade temporal solicitada. Não utilize uma view mensal para responder uma pergunta diária quando existir uma view correspondente terminada em _DIA.
227;VALIDACAO;7;Valide a agregação das views diárias;Ao consolidar vários dias, some somente métricas aditivas. Para usuários, unidades e tipos processuais distintos, recalcule a contagem no detalhe. Para percentuais e taxas, some os componentes e recalcule a razão. Para médias e medianas, utilize os registros das views de evento.
228;VALIDACAO;8;Valide a atualização dos dados;As views VW_SEI_KPI_%_DIA são materializadas e refletem o último refresh executado. Quando a atualidade da informação for relevante, verifique a data máxima disponível e não presuma que existem dados para o dia atual.
229;RESPOSTA;5;Informe a granularidade utilizada;Informe se o resultado foi calculado no nível diário, mensal ou consolidado por período. Quando utilizar uma view materializada diária, indique a DATA_REFERENCIA e, se relevante, esclareça que os dados correspondem ao último refresh disponível.
1;WORKFLOW;1;Identifique o escopo da pergunta;Identifique o tema, as entidades, as métricas, o período e o nível de detalhamento solicitados. Não gere SQL antes de compreender esses elementos.
